timestamp,station,air_temperature_celsius,wind_speed_knots,wind_direction_deg,air_pressure_hpa,relative_humidity_percent
2026-01-01 00:00:00,Maitri,-8.45,41.01,342,971.7,42.1
2026-01-01 01:00:00,Maitri,-21.86,5.7,73,990.3,90.3
2026-01-01 02:00:00,Maitri,0.69,22.91,325,984.5,55.5
2026-01-01 03:00:00,Maitri,-16.94,19.36,247,963.0,82.2
2026-01-01 04:00:00,Maitri,-23.66,27.68,359,1000.4,80.7
2026-01-01 05:00:00,Maitri,-17.68,38.11,50,1001.8,78.9
2026-01-01 06:00:00,Maitri,-26.95,8.4,145,1009.6,56.8
2026-01-01 07:00:00,Maitri,-2.66,15.79,210,1009.8,80.6
2026-01-01 08:00:00,Maitri,-2.05,15.96,143,980.4,82.1
2026-01-01 09:00:00,Maitri,-8.83,28.5,354,987.8,40.6
2026-01-01 10:00:00,Maitri,-4.22,9.12,17,993.4,53.1
2026-01-01 11:00:00,Maitri,-15.52,5.72,13,997.0,90.7
2026-01-01 12:00:00,Maitri,-6.93,22.6,222,966.8,53.2
2026-01-01 13:00:00,Maitri,-20.27,29.79,33,1009.5,86.9
2026-01-01 14:00:00,Maitri,-10.18,22.65,296,990.3,65.4
2026-01-01 15:00:00,Maitri,-16.13,15.91,50,986.9,53.4
2026-01-01 16:00:00,Maitri,-3.18,10.02,285,965.9,87.2
2026-01-01 17:00:00,Maitri,-21.74,29.86,86,1009.3,87.2
2026-01-01 18:00:00,Maitri,-8.28,9.48,348,1010.6,50.1
2026-01-01 19:00:00,Maitri,-12.94,21.94,189,992.6,61.9
2026-01-01 20:00:00,Maitri,-14.03,39.67,61,967.6,68.3
2026-01-01 21:00:00,Maitri,-3.47,18.95,325,973.4,44.3
2026-01-01 22:00:00,Maitri,-11.24,33.78,103,985.2,63.3
2026-01-01 23:00:00,Maitri,-5.49,10.2,245,1008.0,45.7
2026-01-02 00:00:00,Maitri,-1.5,45.92,160,1003.5,42.6
2026-01-02 01:00:00,Maitri,-11.51,35.92,69,985.5,82.2
2026-01-02 02:00:00,Maitri,-6.59,21.24,345,975.7,79.9
2026-01-02 03:00:00,Maitri,-10.67,38.65,90,972.4,66.5
2026-01-02 04:00:00,Maitri,-1.73,35.41,122,989.3,75.8
2026-01-02 05:00:00,Maitri,-10.41,29.92,203,994.6,87.3
2026-01-02 06:00:00,Maitri,-9.47,21.58,296,998.8,47.7
2026-01-02 07:00:00,Maitri,-0.4,45.39,259,970.4,81.4
2026-01-02 08:00:00,Maitri,-7.48,28.9,348,986.7,72.6
2026-01-02 09:00:00,Maitri,-24.95,38.81,12,979.7,80.5
2026-01-02 10:00:00,Maitri,-23.16,23.95,91,980.4,66.2
2026-01-02 11:00:00,Maitri,-2.63,18.98,16,975.1,91.0
2026-01-02 12:00:00,Maitri,-24.65,36.05,108,1000.6,90.1
2026-01-02 13:00:00,Maitri,-1.66,6.56,197,1009.2,77.2
2026-01-02 14:00:00,Maitri,-25.26,36.77,357,1002.6,57.6
2026-01-02 15:00:00,Maitri,1.64,14.66,145,975.6,89.9
2026-01-02 16:00:00,Maitri,-17.27,28.53,300,993.5,67.6
2026-01-02 17:00:00,Maitri,-4.87,43.22,104,996.9,54.0
2026-01-02 18:00:00,Maitri,-20.9,14.43,138,991.4,91.7
2026-01-02 19:00:00,Maitri,-6.04,23.28,181,1004.7,57.0
2026-01-02 20:00:00,Maitri,-17.94,24.35,233,990.0,75.0
2026-01-02 21:00:00,Maitri,-17.8,39.67,136,986.0,89.7
2026-01-02 22:00:00,Maitri,-10.14,45.0,30,999.9,86.3
2026-01-02 23:00:00,Maitri,2.76,24.84,338,1005.4,87.5
2026-01-03 00:00:00,Maitri,-7.89,31.78,88,983.7,50.8
2026-01-03 01:00:00,Maitri,-11.42,42.84,54,992.8,80.1
2026-01-03 02:00:00,Maitri,-18.22,8.24,324,1001.6,90.2
2026-01-03 03:00:00,Maitri,-24.37,28.26,223,975.6,89.0
2026-01-03 04:00:00,Maitri,-25.11,19.49,340,962.4,48.3
2026-01-03 05:00:00,Maitri,-5.39,26.83,175,998.5,66.1
2026-01-03 06:00:00,Maitri,-15.76,43.51,225,997.8,83.6
2026-01-03 07:00:00,Maitri,-18.26,15.15,155,997.6,52.4
2026-01-03 08:00:00,Maitri,-8.42,26.85,284,987.1,42.8
2026-01-03 09:00:00,Maitri,-18.94,37.83,95,976.3,45.1
2026-01-03 10:00:00,Maitri,-12.52,5.08,225,981.2,41.1
2026-01-03 11:00:00,Maitri,-14.34,31.01,297,969.8,58.7
2026-01-03 12:00:00,Maitri,-15.34,18.36,340,990.1,40.4
2026-01-03 13:00:00,Maitri,-17.67,29.71,7,1002.4,53.2
2026-01-03 14:00:00,Maitri,-10.78,35.51,104,981.5,81.6
2026-01-03 15:00:00,Maitri,-25.56,33.7,258,1003.9,44.0
2026-01-03 16:00:00,Maitri,-18.17,38.18,278,975.5,40.2
2026-01-03 17:00:00,Maitri,-18.0,27.19,318,983.9,85.8
2026-01-03 18:00:00,Maitri,-10.79,33.99,258,1006.0,41.0
2026-01-03 19:00:00,Maitri,-24.29,45.98,338,987.0,52.6
2026-01-03 20:00:00,Maitri,-9.4,17.1,19,1007.3,71.8
2026-01-03 21:00:00,Maitri,-0.21,29.68,180,964.1,49.2
2026-01-03 22:00:00,Maitri,1.62,11.22,20,979.9,65.7
2026-01-03 23:00:00,Maitri,-12.54,15.85,258,1004.2,59.8
2026-01-04 00:00:00,Maitri,-16.63,26.43,329,963.7,89.8
2026-01-04 01:00:00,Maitri,1.12,15.08,30,1003.0,81.0
2026-01-04 02:00:00,Maitri,-18.51,21.81,302,1011.7,61.5
2026-01-04 03:00:00,Maitri,-6.06,40.27,355,971.7,47.1
2026-01-04 04:00:00,Maitri,-17.47,40.04,13,1002.8,80.4
2026-01-04 05:00:00,Maitri,-25.36,44.61,122,996.8,51.3
2026-01-04 06:00:00,Maitri,-3.04,18.39,312,1001.0,61.4
2026-01-04 07:00:00,Maitri,-16.65,41.35,194,976.5,40.5
2026-01-04 08:00:00,Maitri,-25.78,41.85,146,997.2,63.4
2026-01-04 09:00:00,Maitri,-7.05,32.28,171,962.6,83.7
2026-01-04 10:00:00,Maitri,-14.25,4.89,64,963.5,77.4
